record_id,title,authors,year,doi,abstract,venue,url,source_db,golden_set
1,Graph neural networks: A review of methods and applications,Jie Zhou; Ganqu Cui; Shengding Hu; Zhengyan Zhang; Cheng Yang; Zhiyuan Liu; Lifeng Wang; Changcheng Li; Maosong Sun,2020,10.1016/j.aiopen.2021.01.001,"Lots of learning tasks require dealing with graph data which contains rich relation information among elements. Modeling physics systems, learning molecular fingerprints, predicting protein interface, and classifying diseases demand a model to learn from graph inputs. In other domains such as learning from non-structural data like texts and images, reasoning on extracted structures (like the dependency trees of sentences and the scene graphs of images) is an important research topic which also needs graph reasoning models. Graph neural networks (GNNs) are neural models that capture the dependence of graphs via message passing between the nodes of graphs. In recent years, variants of GNNs such as graph convolutional network (GCN), graph attention network (GAT), graph recurrent network (GRN) have demonstrated ground-breaking performances on many deep learning tasks. In this survey, we propose a general design pipeline for GNN models and discuss the variants of each component, systematically categorize the applications, and propose four open problems for future research.",AI Open,https://openalex.org/W3152893301,openalex,false
2,Graph neural network for traffic forecasting: A survey,Weiwei Jiang; Jiayun Luo,2022,10.1016/j.eswa.2022.117921,,Expert Systems with Applications,https://openalex.org/W3123909522,openalex,false
3,E(3)-equivariant graph neural networks for data-efficient and accurate interatomic potentials,Simon Batzner; Albert Musaelian; Lixin Sun; Mario Geiger; Jonathan P. Mailoa; Mordechai Kornbluth; Nicola Molinari; Tess Smidt; Boris Kozinsky,2022,10.1038/s41467-022-29939-5,"This work presents Neural Equivariant Interatomic Potentials (NequIP), an E(3)-equivariant neural network approach for learning interatomic potentials from ab-initio calculations for molecular dynamics simulations. While most contemporary symmetry-aware models use invariant convolutions and only act on scalars, NequIP employs E(3)-equivariant convolutions for interactions of geometric tensors, resulting in a more information-rich and faithful representation of atomic environments. The method achieves state-of-the-art accuracy on a challenging and diverse set of molecules and materials while exhibiting remarkable data efficiency. NequIP outperforms existing models with up to three orders of magnitude fewer training data, challenging the widely held belief that deep neural networks require massive training sets. The high data efficiency of the method allows for the construction of accurate potentials using high-order quantum chemical level of theory as reference and enables high-fidelity molecular dynamics simulations over long time scales.",Nature Communications,https://openalex.org/W4225405705,openalex,false
4,GraphDTA: predicting drug–target binding affinity with graph neural networks,Thin Nguyen; Thin Nguyen; Hang Le; Thomas P. Quinn; Tri Nguyen; Tri Nguyen; Thuc Duy Le; Svetha Venkatesh,2020,10.1093/bioinformatics/btaa921,"SUMMARY: The development of new drugs is costly, time consuming and often accompanied with safety issues. Drug repurposing can avoid the expensive and lengthy process of drug development by finding new uses for already approved drugs. In order to repurpose drugs effectively, it is useful to know which proteins are targeted by which drugs. Computational models that estimate the interaction strength of new drug-target pairs have the potential to expedite drug repurposing. Several models have been proposed for this task. However, these models represent the drugs as strings, which is not a natural way to represent molecules. We propose a new model called GraphDTA that represents drugs as graphs and uses graph neural networks to predict drug-target affinity. We show that graph neural networks not only predict drug-target affinity better than non-deep learning models, but also outperform competing deep learning methods. Our results confirm that deep learning models are appropriate for drug-target binding affinity prediction, and that representing drugs as graphs can lead to further improvements. AVAILABILITY OF IMPLEMENTATION: The proposed models are implemented in Python. Related data, pre-trained models and source code are publicly available at https://github.com/thinng/GraphDTA. All scripts and data needed to reproduce the post hoc statistical analysis are available from https://doi.org/10.5281/zenodo.3603523. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online.",Bioinformatics,https://openalex.org/W3096561213,openalex,false
5,Novel Alzheimer’s Disease Stating Based on Comorbidities-Informed Graph Neural Networks,Ferial Abuhantash; Mohd Khalil Abu Hantash; Roy Welsch; Mohamed Lamine Seghier; Leontios Hadjileontiadis; Aamna Al Shehhi,2024,10.1109/embc53108.2024.10781747,"Alzheimer’s Disease (AD), the most prevalent form of dementia, requires early prediction for timely intervention. Leveraging data from the Alzheimer’s Disease Neuroimaging Initiative (ADNI), our study employs Graph Neural Networks (GNNs) for multi-class AD classification. Initial steps involve creating a patient-clinical graph network considering latent relationships among cognitive normal (CN), mild cognitive impairment (MCI), and AD patients, followed by training several GNN-based techniques for building prediction models. Incorporating comorbidity data from electronic health records into the feature set yielded the most effective classification results. Notably, the GNN model with attention mechanisms outperforms state-of-the-art techniques in multi-class AD classification, achieving an accuracy = 0.92 [0.91,0.94], AUC = 0.96 [0.95,0.96], and F1-score = 0.92 [0.91,0.94]. This work highlights comorbidity data’s impact on AD classification and suggests its potential to deepen disease understanding.",2024 46th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),https://ieeexplore.ieee.org/document/10781747/,ieee,false
6,Detection of pre-mRNA involved in abnormal splicing using Graph Neural Network and Nearest Correlation Method,Yuna Tahashi; Rikumo Ode; Koichi Fujiwara; Jun-Ichi Takeda; Kinji Ohno,2024,10.1109/embc53108.2024.10782054,"Background: DNA is the building block of genetic information, and is composed of alternating sequences of exons with genetic information and introns without no genetic information. DNA is damaged by normal metabolic activities and environmental factors, causing base substitutions. Changes at the single nucleotide level are called Single Nucleotide Variants (SNVs), which usually result in mRNAs that are non-pathogenic or produce harmless proteins by splicing. However, when pathogenic SNVs are present in DNA, abnormal RNA splicing may cause transcription and translation of the wrong genetic information, resulting in genetic diseases such as cancer. Methods: We proposed a new method for detecting pre-mRNA with SNVs that cause abnormal RNA splicing, which utilizes a Graph Neural Network (GNN) and the Nearest Correlation (NC) method which is a similarity measure based on the correlation among multiple inputs. In the proposed method, multiple features were extracted from target sequences and their similarities are calculated by means of the NC method. A GNN model is trained from a graph constructed based on the similarities among the sequences and used as input of LightGBM in order to classify pre-mRNA with SNVs. Results: The specificity, recall, G-mean, ROC-AUC (area under the ROC curve), and PR-AUC (area under the PR curve) of the proposed method were 0.73±0.080, 0.69±0.13, 0.71±0.073, 0.76±0.062, and 0.42±0.10. Conclusion: The proposed method will contribute to preventing misjudgment of the disease and lead to the selection of the correct treatment in the future.",2024 46th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),https://ieeexplore.ieee.org/document/10782054/,ieee,false
7,Leveraging Graph Neural Networks for MIC Prediction in Antimicrobial Resistance Studies,Zonghan Zhang; Ramyasri Veerapaneni; Moses Ayoola; Athish Ram Das; Zhiqian Chen; Bindu Nanduri; Mahalingam Ramkumar,2024,10.1109/embc53108.2024.10782350,"Antimicrobial resistance (AMR) poses a significant challenge in healthcare and public health, with organisms such as nontyphoidal Salmonella leading the way due to their escalating resistance to antimicrobial agents. This situation severely complicates the management and containment of diseases, highlighting the urgent need for more effective techniques to assess antimicrobial susceptibility. Conventional methods, including the broth microdilution technique for determining Minimum Inhibitory Concentrations (MICs), are time-consuming and require extensive manual effort. The advent of machine learning (ML) technologies offers a revolutionary approach to predicting MICs, thereby potentially increasing the efficacy of antimicrobial therapies. This paper explores the latest advancements in ML for MIC prediction, focusing on an innovative approach using Graph Neural Networks (GNNs), which could provide a novel insight into the correlation between gene fragment similarities and MIC values. Within this paper, we introduce the K-mer GNN, a novel GNN model designed for MIC prediction. The K-mer GNN model distinctively identifies and incorporates the similarities among k-mers, integrating these insights into GNN alongside k-mer features. This approach not only elevates the precision of MIC predictions but also sheds light on the genomic factors at the k-mer level that drive antimicrobial resistance.",2024 46th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),https://ieeexplore.ieee.org/document/10782350/,ieee,false
8,Decoding Visual Perception from EEG Using Explainable Graph Neural Network,Chin-Wei Huang; Chien-Hui Su; Po-Chih Kuo,2024,10.1109/embc53108.2024.10782730,"Brain decoding is an emerging area in the fields of neuroscience and machine learning. The goal of decoding is to utilize measured brain activity to understand the thoughts or sensations of individuals. In the fields of computer vision and machine learning, Graph Neural Networks (GNNs) have demonstrated considerable success. Furthermore, the integration of attention mechanisms in these networks provides a pathway for improved model explainability. This study employs GNNs in the analysis of electroencephalography (EEG), aiming to explore how our brain handles visual information and uncover functional brain networks. We utilize GNNExplainer, a tool designed for GNN interpretation, to pinpoint critical EEG channels and their interconnections relevant to visual EEG tasks. Our findings, which align with existing neuroscience literature, underscore the significance of specific channels. This implies that GNNs have the capability to provide valuable insights within the field of neuroscience research.",2024 46th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),https://ieeexplore.ieee.org/document/10782730/,ieee,false
9,DGE-ASR: Two-view Graph Neural Networks for Knowledge Graph Completion,Xiangxu Kong; Fangru Hu; Yichen Song; Xing Wang,2024,10.1109/icairc64177.2024.10900328,"Knowledge graph completion aims to address knowledge gaps caused by difficulties in collecting real-world facts. This paper proposes a novel dual-view graph neural network model, DGE-ASR, which designs a dual isomorphic graph attention encoder. It separately constructs isomorphic graphs centered on entity nodes and relation nodes, and then aggregates important neighbor information on both graphs using graph attention networks. Although the node types in the two graphs differ, modeling the entity and relation perspectives separately captures the heterogeneity of the knowledge graph to some extent. During the encoding phase, quaternion operations are used to enhance the GNN layers, effectively modeling the complex interactions between entities and relations, as well as between relations and entities. Additionally, skip connections and residual connections are designed to mitigate the issues of oversmoothing and gradient vanishing in graph neural networks. Experimental results on six datasets (FB15K-237, CoDEx, LitWD1K) show that DGE-ASR outperforms existing GNN- based models and tensor decomposition methods.","2024 4th International Conference on Artificial Intelligence, Robotics, and Communication (ICAIRC)",https://ieeexplore.ieee.org/document/10900328/,ieee,false
10,Improving Traffic Density Forecasting in Intelligent Transportation Systems Using Gated Graph Neural Networks,Razib Hayat Khan; Jonayet Miah; S M Yasir Arafat; M M Mahbubul Syeed; Duc M Ca,2023,10.1109/iit59782.2023.10366426,"This study delves into the application of Graph Neural Networks (GNNs) in the realm of traffic forecasting, a crucial facet of intelligent transportation systems. Accurate traffic predictions are vital for functions like trip planning, traffic control, and vehicle routing in such systems. Three prominent GNN architectures—Graph Convolutional Networks (GCNs), GraphSAGE (Graph Sample and Aggregation), and Gated Graph Neural Networks (GGNNs)—are explored within the context of traffic prediction. Each architecture’s methodology is thoroughly examined, including layer configurations, activation functions, and hyperparameters. The primary goal is to minimize prediction errors, with GGNNs emerging as the most effective choice among the three models. The research outlines outcomes for each architecture, elucidating their ability to anticipate using Mean Absolute Error (MAE) and Root Mean Squared Error (RMSE)). Hypothetical results reveal intriguing insights: GCNs display an RMSE of 9.10 and an MAE of 8.00, while GraphSAGE shows improvement with an RMSE of 8.3 and an MAE of 7.5. Gated Graph Neural Networks (GGNNs) exhibit the lowest RMSE at 9.15 and an impressive MAE of 7.1, positioning them as the frontrunner. However, the study acknowledges result variability, emphasizing the influence of factors like dataset characteristics, graph structure, feature engineering, and hyperparameter tuning.",2023 15th International Conference on Innovations in Information Technology (IIT),https://ieeexplore.ieee.org/document/10366426/,ieee,false
