title,authors,year,doi,abstract,venue,url,source_db
Critical Analysis of Custom AI agents Vs. Generic agents for Integration with Existing Systems and Improvement of Data Privacy and Security to deliver efficiency in terms of Cost and Complexity of Use Cases,Krishna D Jadhav; Rajesh Nelwadkar,2025,10.1109/ICCA66035.2025.11430922,"Whenever a digital disruption takes place within an organisation, there are several changes that are adopted which tend to satisfy the structural and functional units associated with the transformation. Similarly, while implementing AI agents in business processes, it is necessary to specify the type of change that the organisation intends to introduce through the help of this technological advancement. Due to the fact that AI agents have a wide range of applications to enhance business operations, this study explores its use cases in terms of privacy and security. This is because, in a cloud based environment, several information exchange operations take place which are vulnerable to cyber-attacks. Prevention of such attacks requires advanced mechanisms with the help of which identification of the vulnerability would be done along with a solution to its impact on confidentiality and privacy. In such a context, Generic and Custom AI agents are observed to play a major role in enhancing the security and privacy of data with respect to a wide range of business cases.",2025 International Conference on Computer and Applications (ICCA),https://ieeexplore.ieee.org/document/11430922/,ieee
AI-Driven Multi-Agent System for Real-Time Security Analysis of Software Releases,Sergei Fedorov,2025,10.1109/ICICR65456.2025.00212,"The increasing complexity of modern software development necessitates intelligent, automated security analysis frameworks that can effectively pay attention of human on high-risk software releases. This paper introduces a MultiAgent System (MAS) framework designed to enhance the security assessment process by leveraging artificial intelligence (AI) and intelligent computing for real-time release analysis. The proposed system includes static and dynamic code analysis, anomaly detection, code verification, and architecture validation within a decentralized multi-agent architecture, ensuring scalability, adaptability, and efficiency. The approach improves security decision-making, reduces false positives, and directs expert attention efficiently. These findings underscore the importance of smart computing and multi-agent automation in software security and CI/CD cybersecurity.",2025 2nd International Conference on Intelligent Computing and Robotics (ICICR),https://ieeexplore.ieee.org/document/11172929/,ieee
"AI Agent Security: Vulnerability Analysis, Protective Measures and Challenges",Huixun Li; Shaodong Feng; Song Han,2025,10.1109/ICCBDAI66607.2025.11388601,"Currently, as a key indicator of artificial intelligence implementation, technological innovation and application promotion of AI agents mutually reinforce each other and advance rapidly. Simultaneously, security risks associated with AI agents are gradually emerging across multiple levels, demanding urgent attention. This paper begins by establishing a security model for AI agents based on their constituent elements, focusing on security vulnerability analysis. Subsequently, it outlines several protective measures for AI agent security by categorizing attack types. Then, it identifies the challenges facing AI agent security. Finally, traditional machine learning methods are compared with neural networks methods for detecting adversarial prompt attacks against LLMs.","2025 IEEE 6th International Conference on Computer, Big Data, Artificial Intelligence (ICCBD+AI)",https://ieeexplore.ieee.org/document/11388601/,ieee
Agent Technology for Data Analytics of Gene Expression Data: A Literature Review,K Santhosh; S Ajitha,2020,10.1109/ICCMC48092.2020.ICCMC-000189,"Analytics of gene expression data is the prolonged research area of present situation. Analysis of gene expression data requires enormous amount of work and huge set of algorithms. Using agent computing we deal with complex systems which are discovered many opportunities for developing data mining systems in a different ways. Hence to create predictive models, there is a huge need for intelligent and autonomous software agents which can procure useful information from the large datasets of raw information. Predictive analytics models can be created from these datasets which can be further used for various applications in security, future prediction etc. This research paper gives an overall function of multi agent systems in analytics of gene expression data, in terms of characteristics, adaptability, reliability and robotics of agents. Analytics on gene expression data is one of the emerging research fields. A large set of methodology and algorithms are existing in the field but in the application of agent technology in the field of gene expression data is at the infant stage. So the aim of this review paper is to integrate agent technology in the gene expression data analytics.",2020 Fourth International Conference on Computing Methodologies and Communication (ICCMC),https://ieeexplore.ieee.org/document/9076482/,ieee
A Smart Approach using Multi–agent System for Big Data Security,Dounya Kassimi; Okba Kazar; Ezedin Barka; Abdelhak Merizig; Zina Houhamdi; Belkacem Athamena; Meftah Zaoui,2022,10.1109/IOTSMS58070.2022.10062015,"With the evaluation of technology and the appearance of new tools that help store the information we create, especially in Banking, business intelligence, and even Education as Datawarehouse, Big data, and cloud computing. Those new tools create another obstacle: how we can secure and protect the information and the data stored in them. This paper treats the problem of Big Data security and privacy using mobile and stationary agents’ technologies. The main important security proprieties in big data are integrity, authentication, privacy, and access control. For integrity, the problem lies in checking the integrity of data and if this data is good and can be used since the Big Data is receiving data from different sours and different formats (structured, semi–structured, and non-structured). In access control, we need to consider the users’ secrecy, monitor the authorities, and properly apply the confidentiality requirement. The problem with authentication is to authenticate each user over the network, while big data collect sensitive data from trusted or untrusted users. While the privacy policy problem revolves around data collection and the use of transparency. To answer the previous needs for security in big data, we have proposed a smart approach using multi–agent systems (MAS) as a model for our solution.","2022 9th International Conference on Internet of Things: Systems, Management and Security (IOTSMS)",https://ieeexplore.ieee.org/document/10062015/,ieee
Mobile Agents Authentication in Healthcare System Based on Stern Brocot Tree,Anuradha Singh; Pradeep Kumar,2026,10.1109/ICSETI67678.2026.11636698,"A mobile agent is a small piece of program that migrates automatically among different platform and executes their assign task. Mobile agent migrate in malicious and unsecure networks so three will be chances of compromising mobile agent as well as mobile agent platform. So, at the hour mobile agent executing life cycle there will be chances of stealing confidential information about platform and mobile agents. The uses of mobile agent is growing exponentially in various fields such as distributing computing, cloud computing, Internet of things and security of health care data. Ensuring the security and integrity of patient medical records in healthcare systems is critical especially in mobile agent based environments where information is transmitted across malicious distributed networks. This presents a lightweight authentication framework for mobile agents based on the Stern Brocot tree using its unique mediant property for secure key creation and verification of sensitive patient information. By dynamically deriving authentication tokens from the tree structure the proposed framework ensures low computational cost, reduced communication overhead and enhanced scalability compared to traditional methods. Performance analysis as compare with Elliptic Curve Cryptography (ECC), Hash-based Authentication, Shamir’s Secret Sharing, Euler-based Authentication and CRT-based Authentication shows that our approach achieves up to 40 percent lower communication overhead and 25 percent faster authentication time making it highly suitable for resource constrained environments such as IoT-based mobile agent platforms. Graphical analysis highlights the efficiency, scalability and security advantages of the proposed method positioning it as a robust alternative for mobile agent authentication.",2026 International Conference on Sustainable Engineering and Technology Innovations (ICSETI),https://ieeexplore.ieee.org/document/11636698/,ieee
Agent Capability Negotiation and Binding Protocol (ACNBP),Ken Huang; Akram Sheriff; Vineeth Sai Narajala; Idan Habler,2026,10.1109/AIxDKE67294.2026.00023,"As multi-agent systems evolve to encompass increasingly diverse and specialized agents, the challenge of enabling effective collaboration between heterogeneous agents has become paramount, with traditional agent communication protocols often assuming homogeneous environments or predefined interaction patterns that limit their applicability in dynamic, open-world scenarios. This paper presents the Agent Capability Negotiation and Binding Protocol (ACNBP), a novel framework designed to facilitate secure, efficient, and verifiable interactions between agents in heterogeneous multi-agent systems through integration with an Agent Name Service (ANS) infrastructure that provides comprehensive discovery, negotiation, and binding mechanisms. The protocol introduces a structured 10 -step process encompassing capability discovery, candidate pre-screening and selection, secure negotiation phases, and binding commitment with built-in security measures including digital signatures, capability attestation, and comprehensive threat mitigation strategies, while a key innovation of ACNBP is its protocolExtension mechanism that enables backward-compatible protocol evolution and supports diverse agent architectures while maintaining security and interoperability.",2026 International Conference on AI x Data and Knowledge Engineering (AIxDKE),https://ieeexplore.ieee.org/document/11486352/,ieee
Developing Hybrid Privacy Channels in Cloud Architecture using Several Agents,Aman Sharma; Mukesh Joshi; Sh. J Mamatkulov; Shivani Thakur; Saif O. Husain; Shweta Goyal,2024,10.1109/I3CEET61722.2024.10994007,"An information security plan often assesses the risk, the likelihood that it would materialize as a result of an unusual incident, and the related ramifications for cloud enterprises. Different computer safety and risk mitigation techniques are implemented by different cloud organizations and disciplines. When comparing the risk management techniques that cloud firms now use, it becomes clear that they have shortcomings since they only take into account traditional criteria and ignore an agent-based approach that takes into account every aspect of the risk involved. The failure to include well-known risk mitigation frameworks, appropriate comparisons, and agent procedures is what spurred this investigation. This paper presents the Agent-Based Security of Knowledge Model for Blended Cloud Computing, a complete methodology that combines cloud-specific methodologies for analyzing and comparing well-known systems now in use, to solve challenges in cloud computing risk. New elements are also included from the assessed techniques. The goal of introducing intelligent agents and software agents is to provide a decision-making framework that will direct organizational actions against danger agents by using data from security agents. These agents are in charge of gathering trustworthy data and organizing it for frameworks. The research focuses on risk assessment methods that compute results by examining resources, possible threats, weaknesses, and related actions. ISO/IEC 27005:2011 is the best technique inside the Agent-Based security professionals Framework (ABISF) after a comprehensive comparison with popular Individual Security Assessment of Risk (ISRA) methodologies. The suggested framework is developed using a fuzzy inference method based on fuzzy set theory, and its effectiveness is verified using fuzzy logic rules in MATLAB®. The inconclusive results confirm that the proposed technique has potential to protect privacy of information in cloud settings.","2024 International Conference on Communication, Computing and Energy Efficient Technologies (I3CEET)",https://ieeexplore.ieee.org/document/10994007/,ieee
Security Analysis of Wireless Sensor Networks Using SIEM and Multi-agent Approach,Vladimir Vasilyev; Rinat Shamsutdinov,2020,10.1109/GloSIC50886.2020.9267830,"The paper addresses the issue of providing information security to wireless sensor networks using Security Information and Event Management (SIEM) methodology along with multi-agent approach. The concept of wireless sensor networks and providing their information security, including construction of SIEM system architecture, SIEM analysis methodologies and its main features, are considered. The proposed approach is to integrate SIEM system methodology with a multi-agent architecture which includes data collecting agents, coordinating agent (supervisor) and local Intrusion Detection Systems (IDSs) based on artificial immune system mechanisms. Each IDS is used as an agent that performs a primary analysis and sends information about suspicious activity to the server. The server performs correlation analysis, identifies the most significant incidents, and helps to prioritize the incident response. The presented results of computational experiments confirm the effectiveness of the proposed approach.",2020 Global Smart Industry Conference (GloSIC),https://ieeexplore.ieee.org/document/9267830/,ieee
A Multi Agent-Based Security Protocol for Securing Password Management Application,Nor Aimuni Md Rashid; Nurul Hidayah Ahmad Zukri; Zuhri Arafah Zulkifli; Norkhushaini Awang; Alya Geogiana Buja,2020,10.1109/ICCSCE50387.2020.9204928,"Password-based authentication is the most common authentication method for either online or offline system. Password composition policies become too burdensome and put the user in a state of struggle to remember their password. Thus, most of the user save their password on the browser or even list it down in their personal gadgets. Therefore, a multi agent-based password management application have been developed to helps user in keeping their password safely. However, multi-agent system facing security issues such as man in the middle attack, data modification and eavesdropping. This paper proposed a security protocol for multi agent-based architecture in order to reduce potential threats. The security protocol focuess on the authentication of mobile agents, data transmission and the data local protection. The communication channels are secured using cryptography techniques.","2020 10th IEEE International Conference on Control System, Computing and Engineering (ICCSCE)",https://ieeexplore.ieee.org/document/9204928/,ieee
