title,authors,year,doi,abstract,venue,url,source_db
A survey on large language model based autonomous agents,Lei Wang; Chen Ma; Xueyang Feng; Zeyu Zhang; Hao Yang; Jingsen Zhang; Zhiyuan Chen; Jiakai Tang; Xu Chen; Yankai Lin; Wayne Xin Zhao; Zhewei Wei; Ji-Rong Wen,2024,10.1007/s11704-024-40231-1,"Abstract Autonomous agents have long been a research focus in academic and industry communities. Previous research often focuses on training agents with limited knowledge within isolated environments, which diverges significantly from human learning processes, and makes the agents hard to achieve human-like decisions. Recently, through the acquisition of vast amounts of Web knowledge, large language models (LLMs) have shown potential in human-level intelligence, leading to a surge in research on LLM-based autonomous agents. In this paper, we present a comprehensive survey of these studies, delivering a systematic review of LLM-based autonomous agents from a holistic perspective. We first discuss the construction of LLM-based autonomous agents, proposing a unified framework that encompasses much of previous work. Then, we present a overview of the diverse applications of LLM-based autonomous agents in social science, natural science, and engineering. Finally, we delve into the evaluation strategies commonly used for LLM-based autonomous agents. Based on the previous studies, we also present several challenges and future directions in this field.",Frontiers of Computer Science,https://openalex.org/W4393065402,openalex
The Effectiveness of Artificial Intelligence Conversational Agents in Health Care: Systematic Review,Madison Milne‐Ives; Caroline de Cock; Ernest Lim; Melissa Harper Shehadeh; Nick de Pennington; Guy Mole; Eduardo Normando; Edward Meinert,2020,10.2196/20346,"BACKGROUND: The high demand for health care services and the growing capability of artificial intelligence have led to the development of conversational agents designed to support a variety of health-related activities, including behavior change, treatment support, health monitoring, training, triage, and screening support. Automation of these tasks could free clinicians to focus on more complex work and increase the accessibility to health care services for the public. An overarching assessment of the acceptability, usability, and effectiveness of these agents in health care is needed to collate the evidence so that future development can target areas for improvement and potential for sustainable adoption. OBJECTIVE: This systematic review aims to assess the effectiveness and usability of conversational agents in health care and identify the elements that users like and dislike to inform future research and development of these agents. METHODS: PubMed, Medline (Ovid), EMBASE (Excerpta Medica dataBASE), CINAHL (Cumulative Index to Nursing and Allied Health Literature), Web of Science, and the Association for Computing Machinery Digital Library were systematically searched for articles published since 2008 that evaluated unconstrained natural language processing conversational agents used in health care. EndNote (version X9, Clarivate Analytics) reference management software was used for initial screening, and full-text screening was conducted by 1 reviewer. Data were extracted, and the risk of bias was assessed by one reviewer and validated by another. RESULTS: A total of 31 studies were selected and included a variety of conversational agents, including 14 chatbots (2 of which were voice chatbots), 6 embodied conversational agents (3 of which were interactive voice response calls, virtual patients, and speech recognition screening systems), 1 contextual question-answering agent, and 1 voice recognition triage system. Overall, the evidence reported was mostly positive or mixed. Usability and satisfaction performed well (27/30 and 26/31), and positive or mixed effectiveness was found in three-quarters of the studies (23/30). However, there were several limitations of the agents highlighted in specific qualitative feedback. CONCLUSIONS: The studies generally reported positive or mixed evidence for the effectiveness, usability, and satisfactoriness of the conversational agents investigated, but qualitative user perceptions were more mixed. The quality of many of the studies was limited, and improved study design and reporting are necessary to more accurately evaluate the usefulness of the agents in health care and identify key areas for improvement. Further research should also analyze the cost-effectiveness, privacy, and security of the agents. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): RR2-10.2196/16934.",Journal of Medical Internet Research,https://openalex.org/W3028484854,openalex
"Estimated Research and Development Investment Needed to Bring a New Medicine to Market, 2009-2018",Olivier J. Wouters; Martin McKee; Jeroen Luyten,2020,10.1001/jama.2020.1166,"IMPORTANCE: The mean cost of developing a new drug has been the subject of debate, with recent estimates ranging from $314 million to $2.8 billion. OBJECTIVE: To estimate the research and development investment required to bring a new therapeutic agent to market, using publicly available data. DESIGN AND SETTING: Data were analyzed on new therapeutic agents approved by the US Food and Drug Administration (FDA) between 2009 and 2018 to estimate the research and development expenditure required to bring a new medicine to market. Data were accessed from the US Securities and Exchange Commission, Drugs@FDA database, and ClinicalTrials.gov, alongside published data on clinical trial success rates. EXPOSURES: Conduct of preclinical and clinical studies of new therapeutic agents. MAIN OUTCOMES AND MEASURES: Median and mean research and development spending on new therapeutic agents approved by the FDA, capitalized at a real cost of capital rate (the required rate of return for an investor) of 10.5% per year, with bootstrapped CIs. All amounts were reported in 2018 US dollars. RESULTS: The FDA approved 355 new drugs and biologics over the study period. Research and development expenditures were available for 63 (18%) products, developed by 47 different companies. After accounting for the costs of failed trials, the median capitalized research and development investment to bring a new drug to market was estimated at $985.3 million (95% CI, $683.6 million-$1228.9 million), and the mean investment was estimated at $1335.9 million (95% CI, $1042.5 million-$1637.5 million) in the base case analysis. Median estimates by therapeutic area (for areas with ≥5 drugs) ranged from $765.9 million (95% CI, $323.0 million-$1473.5 million) for nervous system agents to $2771.6 million (95% CI, $2051.8 million-$5366.2 million) for antineoplastic and immunomodulating agents. Data were mainly accessible for smaller firms, orphan drugs, products in certain therapeutic areas, first-in-class drugs, therapeutic agents that received accelerated approval, and products approved between 2014 and 2018. Results varied in sensitivity analyses using different estimates of clinical trial success rates, preclinical expenditures, and cost of capital. CONCLUSIONS AND RELEVANCE: This study provides an estimate of research and development costs for new therapeutic agents based on publicly available data. Differences from previous studies may reflect the spectrum of products analyzed, the restricted availability of data in the public domain, and differences in underlying assumptions in the cost calculations.",JAMA,https://openalex.org/W3009999522,openalex
Physical Safety and Cyber Security Analysis of Multi-Agent Systems: A Survey of Recent Advances,Dan Zhang; Gang Feng; Yang Shi; Dipti Srinivasan,2021,10.1109/jas.2021.1003820,"Multi-agent systems (MASs) are typically composed of multiple smart entities with independent sensing, communication, computing, and decision-making capabilities. Nowadays, MASs have a wide range of applications in smart grids, smart manufacturing, sensor networks, and intelligent transportation systems. Control of the MASs are often coordinated through information interaction among agents, which is one of the most important factors affecting coordination and cooperation performance. However, unexpected physical faults and cyber attacks on a single agent may spread to other agents via information interaction very quickly, and thus could lead to severe degradation of the whole system performance and even destruction of MASs. This paper is concerned with the safety/security analysis and synthesis of MASs arising from physical faults and cyber attacks, and our goal is to present a comprehensive survey on recent results on fault estimation, detection, diagnosis and fault-tolerant control of MASs, and cyber attack detection and secure control of MASs subject to two typical cyber attacks. Finally, the paper concludes with some potential future research topics on the security issues of MASs.",IEEE/CAA Journal of Automatica Sinica,https://openalex.org/W3120726845,openalex
"The ODD Protocol for Describing Agent-Based and Other Simulation Models: A Second Update to Improve Clarity, Replication, and Structural Realism",Volker Grimm; Steven F. Railsback; Christian E. Vincenot; Uta Berger; Cara A. Gallagher; Donald L. DeAngelis; Bruce Edmonds; Jiaqi Ge; Jarl Giske; Jürgen Groeneveld; Alice S. A. Johnston; Alexander Milles; Jacob Nabe‐Nielsen; Gary Polhill; Viktoriia Radchuk; Marie‐Sophie Rohwäder; Richard A. Stillman; Jan Christoph Thiele; Daniel Ayllón,2020,10.18564/jasss.4259,"by Volker Grimm, Steven F. Railsback, Christian E. Vincenot, Uta Berger, Cara Gallagher, Donald L. DeAngelis, Bruce Edmonds, Jiaqi Ge, Jarl Giske, Jürgen Groeneveld, Alice S.A. Johnston, Alexander Milles, Jacob Nabe-Nielsen, J. Gareth Polhill, Viktoriia Radchuk, Marie-Sophie Rohwäder, Richard A. Stillman, Jan C. Thiele and Daniel Ayllón",Journal of Artificial Societies and Social Simulation,https://openalex.org/W3014128467,openalex
ChatDev: Communicative Agents for Software Development,Chen Qian; Wei Liu; Hongzhang Liu; Nuo Chen; Yufan Dang; Jiahao Li; Cheng Yang; Weize Chen; Yu-Sheng Su; Xin Cong; Juyuan Xu; Dahai Li; Zhiyuan Liu; Maosong Sun,2024,10.18653/v1/2024.acl-long.810,"Chen Qian, Wei Liu, Hongzhang Liu, Nuo Chen, Yufan Dang, Jiahao Li, Cheng Yang, Weize Chen, Yusheng Su, Xin Cong, Juyuan Xu, Dahai Li, Zhiyuan Liu, Maosong Sun. Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers). 2024.",OpenAlex,https://openalex.org/W4402684050,openalex
Bacteria as Biological Control Agents of Plant Diseases,Anna Bonaterra; Esther Badosa; Núria Daranas; Jesús Francés; Gemma Roselló; Emilio Montesinos,2022,10.3390/microorganisms10091759,"Biological control is an effective and sustainable alternative or complement to conventional pesticides for fungal and bacterial plant disease management. Some of the most intensively studied biological control agents are bacteria that can use multiple mechanisms implicated in the limitation of plant disease development, and several bacterial-based products have been already registered and marketed as biopesticides. However, efforts are still required to increase the commercially available microbial biopesticides. The inconsistency in the performance of bacterial biocontrol agents in the biological control has limited their extensive use in commercial agriculture. Pathosystem factors and environmental conditions have been shown to be key factors involved in the final levels of disease control achieved by bacteria. Several biotic and abiotic factors can influence the performance of the biocontrol agents, affecting their mechanisms of action or the multitrophic interaction between the plant, the pathogen, and the bacteria. This review shows some relevant examples of known bacterial biocontrol agents, with especial emphasis on research carried out by Spanish groups. In addition, the importance of the screening process and of the key steps in the development of bacterial biocontrol agents is highlighted. Besides, some improvement approaches and future trends are considered.",Microorganisms,https://openalex.org/W4294162941,openalex
On the Integration of Agents and Digital Twins in Healthcare,Angelo Croatti; Matteo Gabellini; Sara Montagna; Alessandro Ricci,2020,10.1007/s10916-020-01623-5,"A digital twin is a digital representation of a physical asset reproducing its data model, its behaviour and its communication with other physical assets. Digital twins act as a digital replica for the physical object or process they represent, providing nearly real-time monitoring and evaluation without being in close proximity. Although most of their concrete applications can be found mainly in the industrial context, healthcare represents another relevant area where digital twins can have a disruptive impact. The main research question tackled by this paper is about the integration of digital twins with agents and Multi-Agent Systems (MAS) technologies in healthcare. After providing an overview of the application of digital twins in healthcare, in this paper, we discuss our vision about agent-based digital twins, and we present a first case study, about the application of agent-based digital twins to the management of severe traumas.",Journal of Medical Systems,https://openalex.org/W3047581883,openalex
Surface Modification of a MXene by an Aminosilane Coupling Agent,Hossein Riazi; Mark Anayee; Kanit Hantanasirisakul; Ahmad Arabi Shamsabadi; Babak Anasori; Yury Gogotsi; Masoud Soroush,2020,10.1002/admi.201902008,"Abstract MXenes, two‐dimensional (2D) transition metal carbides and/or nitrides, possess surface termination groups such as hydroxyl, oxygen, and fluorine, which are available for surface functionalization. Their surface chemistry is critical in many applications. This article reports amine functionalization of Ti 3 C 2 T x MXene surface with [3‐(2‐aminoethylamino)‐propyl]trimethoxysilane (AEAPTMS). Characterization techniques such as X‐ray photoelectron spectroscopy verify the success of the surface functionalization and confirm that the silane coupling agent bonds to Ti 3 C 2 T x surface both physically and chemically. The functionalization changes the MXene surface charge from −35 to +25 mV at neutral pH, which allows for in situ preparation of self‐assembled films. Further, surface charge measurements of the functionalized MXene at different pH values show that the functionalized MXene has an isoelectric point at a pH around 10.7, and the highest reported positive surface charge of +62 mV at a pH of 2.58. Furthermore, the existence of a mixture of different orientations of AEAPTMS and the simultaneous presence of protonated and free amine groups on the surface of Ti 3 C 2 T x are demonstrated. The availability of free amine groups on the surface potentially permits the fabrication of crosslinked electrically conductive MXene/epoxy composites, dye adsorbents, high‐performance membranes, and drug carriers. Surface modifications of this type are applicable to many other MXenes.",Advanced Materials Interfaces,https://openalex.org/W3003790969,openalex
Sanitizing agents for virus inactivation and disinfection,Qianyu Lin; Jason Y. C. Lim; Kun Xue; Pek Yin Michelle Yew; Cally Owh; Pei Lin Chee; Xian Jun Loh,2020,10.1002/viw2.16,"Viral epidemics develop from the emergence of new variants of infectious viruses. The lack of effective antiviral treatments for the new viral infections coupled with rapid community spread of the infection often result in major human and financial loss. Viral transmissions can occur via close human-to-human contact or via contacting a contaminated surface. Thus, careful disinfection or sanitization is essential to curtail viral spread. A myriad of disinfectants/sanitizing agents/biocidal agents are available that can inactivate viruses, but their effectiveness is dependent upon many factors such as concentration of agent, reaction time, temperature, and organic load. In this work, we review common commercially available disinfectants agents available on the market and evaluate their effectiveness under various application conditions. In addition, this work also seeks to debunk common myths about viral inactivation and highlight new exciting advances in the development of potential sanitizing agents.",Open Research (University of Surrey),https://openalex.org/W3028391983,openalex
